scan_id,show,ticket_type,amount,scanned_at
TS1051,Open Mic Underground,VIP,38,2025-10-25 19:03
TS1059,Sunset Jazz Trio,VIP,51,2025-11-01 19:05
TS1035,Broadway Bites,GA,45,2025-10-11 19:10
TS1025,Latin Fire Night,comp,n/a,2025-09-27 19:38
TS1054,Open Mic Underground,presale,14,2025-10-25 19:17
TS1056,Open Mic Underground,VIP,40,2025-10-25 19:25
TS1107,Open Mic Underground,presale,12,2025-12-12 19:27
TS1115,Sunset Jazz Trio,presale,25,2025-12-19 19:30
TS1117,Sunset Jazz Trio,GA,29,2025-12-19 19:39
TS1029,Midnight Comedy Hour,presale,32,2025-10-03 19:18
TS1072,Latin Fire Night,GA,34,2025-11-08 19:20
TS1028,Midnight Comedy Hour,GA,36,2025-10-03 19:13
TS1103,Open Mic Underground,GA,17,2025-12-12 19:09
TS1052,Open Mic Underground,GA,17,2025-10-25 19:08
TS1118,Electric Pulse,GA,42,2025-12-05 00:03
TS1026,Midnight Comedy Hour,VIP,58,2025-10-03 19:05
TS1024,Latin Fire Night,presale,29,2025-09-27 19:31
TS1064,Sunset Jazz Trio,VIP,50,2025-11-01 19:28
TS1105,Open Mic Underground,GA,18,2025-12-12 19:17
TS1091,Broadway Bites,comp,comp,2025-11-22 19:30
TS1116,Sunset Jazz Trio,comp,comp,2025-12-19 19:33
TS1099,Electric Pulse,presale,37,2025-12-04 19:34
TS1012,Sunset Jazz Trio,presale,24,2025-09-19 19:22
TS1001,Open Mic Underground,VIP,40,2025-09-12 19:07
TS1033,Midnight Comedy Hour,comp,,2025-10-03 19:33
TS1050,Electric Pulse,comp,n/a,2025-10-18 19:39
TS1046,Electric Pulse,presale,36,2025-10-18 19:21
TS1016,Sunset Jazz Trio,comp,comp,2025-09-19 19:41
TS1053,Open Mic Underground,GA,19,2025-10-25 19:11
TS1048,Electric Pulse,VIP,63,2025-10-18 19:29
TS1084,Broadway Bites,VIP,65,2025-11-22 19:03
TS1087,Broadway Bites,presale,40,2025-11-22 19:13
TS1114,Sunset Jazz Trio,VIP,50,2025-12-19 19:23
TS1079,Midnight Comedy Hour,presale,31,2025-11-15 19:17
TS1104,Open Mic Underground,presale,12,2025-12-12 19:14
TS1067,Sunset Jazz Trio,GA,31,2025-11-01 19:45
TS1003,Open Mic Underground,GA,16,2025-09-12 19:15
TS1021,Latin Fire Night,presale,27,2025-09-27 19:19
TS1065,Sunset Jazz Trio,presale,26,2025-11-01 19:35
TS1031,Midnight Comedy Hour,VIP,56,2025-10-03 19:28
TS1022,Latin Fire Night,GA,33,2025-09-27 19:25
TS1037,Broadway Bites,presale,40,2025-10-11 19:21
TS1096,Electric Pulse,presale,36,2025-12-04 19:21
TS1010,Sunset Jazz Trio,GA,29,2025-09-19 19:14
TS1083,Midnight Comedy Hour,comp,,2025-11-15 19:36
